,count,year,author1,author2
0,8,2019,167/4350,169/4719
0,56,2020,167/4350,169/4719
0,74,2021,167/4350,169/4719
0,53,2022,167/4350,169/4719
0,8,2019,167/4350,88/6919
0,36,2020,167/4350,88/6919
0,6,2022,167/4350,88/6919
0,3,2019,167/4350,188/6146
0,47,2020,167/4350,188/6146
0,22,2021,167/4350,188/6146
0,22,2022,167/4350,188/6146
0,3,2017,167/4350,30/9988
0,5,2018,167/4350,30/9988
0,2,2019,167/4350,30/9988
0,44,2020,167/4350,30/9988
0,65,2021,167/4350,30/9988
0,65,2022,167/4350,30/9988
0,5,2017,167/4350,38/5510
0,3,2018,167/4350,38/5510
0,11,2019,167/4350,38/5510
0,33,2020,167/4350,38/5510
0,6,2021,167/4350,38/5510
0,6,2022,167/4350,38/5510
0,12,2020,167/4350,154/0366
0,13,2021,167/4350,154/0366
0,30,2021,167/4350,198/1021
0,17,2022,167/4350,198/1021
0,30,2021,167/4350,145/9981
0,17,2022,167/4350,145/9981
0,30,2021,167/4350,220/5676
0,17,2022,167/4350,220/5676
0,17,2021,167/4350,47/6959
0,17,2022,167/4350,47/6959
0,17,2021,167/4350,144/3202
0,17,2022,167/4350,144/3202
0,30,2021,167/4350,192/1958
0,17,2022,167/4350,192/1958
0,31,2021,167/4350,16/7968
0,21,2022,167/4350,16/7968
0,30,2021,167/4350,22/11237
0,17,2022,167/4350,22/11237
0,30,2021,167/4350,23/8654
0,17,2022,167/4350,23/8654
0,30,2021,167/4350,55/3346
0,17,2022,167/4350,55/3346
0,34,2021,167/4350,84/8221
0,21,2022,167/4350,84/8221
0,30,2021,167/4350,13/4660
0,17,2022,167/4350,13/4660
0,30,2021,167/4350,52/8573
0,17,2022,167/4350,52/8573
0,17,2021,167/4350,180/6438
0,17,2022,167/4350,180/6438
0,6,2022,167/4350,81/7246-1
0,16,2022,167/4350,205/2647
0,16,2022,167/4350,160/2807
0,16,2022,167/4350,190/7060
0,16,2022,167/4350,68/1363
0,6,2020,167/4350,147/2810
0,6,2021,167/4350,147/2810
0,6,2020,167/4350,203/8282
0,6,2021,167/4350,203/8282
0,8,2021,167/4350,d/PaulEDebevec
0,6,2020,167/4350,280/0471
0,6,2021,167/4350,280/0471
0,2,2015,167/4350,96/1216
0,5,2015,169/4719,88/6919
0,14,2017,169/4719,88/6919
0,16,2019,169/4719,88/6919
0,36,2020,169/4719,88/6919
0,6,2022,169/4719,88/6919
0,44,2020,169/4719,188/6146
0,22,2021,169/4719,188/6146
0,22,2022,169/4719,188/6146
0,3,2017,169/4719,30/9988
0,3,2018,169/4719,30/9988
0,8,2019,169/4719,30/9988
0,44,2020,169/4719,30/9988
0,85,2021,169/4719,30/9988
0,65,2022,169/4719,30/9988
0,3,2015,169/4719,38/5510
0,19,2017,169/4719,38/5510
0,3,2018,169/4719,38/5510
0,16,2019,169/4719,38/5510
0,30,2020,169/4719,38/5510
0,6,2021,169/4719,38/5510
0,16,2022,169/4719,38/5510
0,12,2020,169/4719,154/0366
0,13,2021,169/4719,154/0366
0,30,2021,169/4719,198/1021
0,17,2022,169/4719,198/1021
0,30,2021,169/4719,145/9981
0,17,2022,169/4719,145/9981
0,30,2021,169/4719,220/5676
